,ward,diagnosis,Gross_Amount,# of Patient
0,Airbase Ward,Achilles tendinitis - Enthesopathies of lower limb,8781.6,2
1,Airbase Ward,Acute bronchiolitis due to respiratory syncytial virus - Acute bronchiolitis,2016.0,1
2,Airbase Ward,Acute laryngitis - Acute laryngitis and tracheitis,14038.08,3
3,Airbase Ward,Acute laryngopharyngitis - Acute upper respiratory infections of multiple and unspecified sites,20472.68,4
4,Airbase Ward,Acute nasopharyngitis [common cold],92629.84,26
5,Airbase Ward,Acute pharyngitis,86459.78,22
6,Airbase Ward,Acute suppurative otitis media - Suppurative and unspecified otitis media,744.8,1
7,Airbase Ward,Acute tonsillitis,111980.15,23
8,Airbase Ward,Acute tonsillitis - unspecified,10184.82,2
9,Airbase Ward,Acute upper respiratory infection - unspecified,84979.72,16
10,Airbase Ward,Acute upper respiratory infections of multiple and unspecified sites,3568.16,1
11,Airbase Ward,Alcoholic gastritis - Gastritis and duodenitis,6723.84,1
12,Airbase Ward,Allergic contact dermatitis,9208.32,3
13,Airbase Ward,Allergic rhinitis - unspecified,39869.12,8
14,Airbase Ward,Amoebiasis,24201.64,4
15,Airbase Ward,Antenatal screening,9412.16,3
16,Airbase Ward,Antifungal antibiotics - systemically used,1488.32,1
17,Airbase Ward,Asthma,18525.32,3
18,Airbase Ward,Asthma - unspecified,13600.0,1
19,Airbase Ward,Atopic dermatitis,7595.36,2
20,Airbase Ward,Bacterial pneumonia - unspecified,9099.5,1
21,Airbase Ward,Bitten or struck by dog,6850.88,1
22,Airbase Ward,Burn and corrosion - body region unspecified,9079.0,1
23,Airbase Ward,Calculus of lower urinary tract - unspecified,500.0,1
24,Airbase Ward,Cardiomyopathy,10100.0,1
25,Airbase Ward,Chest pain - unspecified,3213.12,1
26,Airbase Ward,Chronic atrophic gastritis - Gastritis and duodenitis,6153.12,1
27,Airbase Ward,Chronic gastritis - unspecified,3237.76,1
28,Airbase Ward,Chronic nasopharyngitis - Chronic rhinitis,30910.52,7
29,Airbase Ward,Chronic obstructive pulmonary disease with acute lower respiratory infection - Other chronic obstructive pulmonary disease,22084.32,3
30,Airbase Ward,Chronic rhinitis,5435.84,1
31,Airbase Ward,Conjunctivitis,18146.239999999998,3
32,Airbase Ward,Contusion of hip - Superficial injury of hip and thigh,1833.28,1
33,Airbase Ward,Contusion of shoulder and upper arm - Superficial injury of shoulder and upper arm,4904.83,1
34,Airbase Ward,Cough,4897.32,2
35,Airbase Ward,Dental caries,70323.81999999999,14
36,Airbase Ward,Dental caries - unspecified,9207.2,2
37,Airbase Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - non-insulin-dependent,3150.4,1
38,Airbase Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - unspecified,3809.24,1
39,Airbase Ward,Disorder of muscle - unspecified,6545.719999999999,2
40,Airbase Ward,Disorders of tooth development and eruption,1705.6,1
41,Airbase Ward,Eczema herpeticum - Herpesviral [herpes simplex] infections,5324.06,1
42,Airbase Ward,Epilepsy,56.0,1
43,Airbase Ward,Erosive (osteo)arthrosis - Polyarthrosis,3688.0,1
44,Airbase Ward,Essential (primary) hypertension,34963.36,9
45,Airbase Ward,Facial nerve disorders,2988.0,1
46,Airbase Ward,Fever of other and unknown origin,11823.990000000002,4
47,Airbase Ward,Foreign body in bronchus - Foreign body in respiratory tract,7219.33,1
48,Airbase Ward,Functional diarrhoea - Other functional intestinal disorders,8147.68,2
49,Airbase Ward,Functional dyspepsia,29657.42,5
50,Airbase Ward,Gastritis - unspecified,153929.66999999998,14
51,Airbase Ward,Gastritis and duodenitis,20049.18,5
52,Airbase Ward,Gastro-oesophageal reflux disease,10580.560000000001,2
53,Airbase Ward,Gastroduodenitis - unspecified,4174.08,1
54,Airbase Ward,Gastroenteritis and colitis of unspecified origin - Other gastroenteritis and colitis of infectious and unspecified origin,11583.26,2
